Customer_ID,Age,Gender,Income_Level,Occupation,Nationality,Primary_Brand_Owned,Num_Luxury_Items,Primary_Item_Type,Years_Owning_Luxury,Purchase_Frequency,Resale_Experience,Sustainability_Importance,Brand_Loyalty,Heard_of_Restoration_Services,Used_Restoration_Before,Adoption_Likelihood,Services_Interested_In,WTP_Basic_Restoration_AED,WTP_Advanced_Restoration_AED,WTP_Authentication_AED,WTP_Annual_Membership_AED,Perceived_Value,Trust_Importance,Quality_Over_Price,Preferred_Channel,Digital_Certificate_Interest,Social_Media_Activity,Influencer_Impact,Awareness_Source,Primary_Pain_Point,NPS_Score,Visit_Frequency_Expected,Membership_Interest,Location_Preference,Has_Purchased
CUST0011,18,Female,High (250K-500K AED),Professional,Asian Expat,Bottega Veneta,11,Shoes,6,Annually,Yes - occasionally,Important,Somewhat Loyal,No,No,Likely,Both Restoration & Authentication,779,4993,488,22507,Too Expensive,Very Important,Neutral,Online (Website),Somewhat Interested,Somewhat Active,No Impact,Online Search,High Costs,3,Annually,Not Interested,Dubai Marina,0
CUST0012,45,Male,High (250K-500K AED),Entrepreneur,UAE National,Balenciaga,2,Sneakers,13,Annually,Yes - occasionally,Important,Somewhat Loyal,Yes,No,Likely,Full Service (incl. Resale),1229,5111,602,24548,Fair,Very Important,Agree,Online (Website),Somewhat Interested,Very Active,Low Impact,Social Media,Finding Trusted Services,1,Annually,Interested,City Walk,0
CUST0013,40,Female,Medium (100K-250K AED),Corporate Executive,Western Expat,Gucci,17,Handbags,23,Rarely,Yes - occasionally,Very Important,Neutral,No,Yes,Likely,Full Service (incl. Resale),674,5495,591,13532,Fair,Important,Agree,Hybrid (Both),Not Interested,Not Active,Medium Impact,Social Media,High Costs,4,Bi-annually,Maybe,Dubai Mall,1
CUST0014,25,Female,Very High (>500K AED),Business Owner,UAE National,Gucci,9,Handbags,22,Annually,No - never,Very Important,Somewhat Loyal,Yes,No,Likely,Full Service (incl. Resale),1245,5200,282,26465,Excellent Value,Important,Strongly Agree,Hybrid (Both),Very Interested,Active,Medium Impact,Magazine/Press,Lack of Transparency,7,Bi-annually,Very Interested,Dubai Marina,1
CUST0015,25,Male,High (250K-500K AED),Business Owner,Western Expat,Louis Vuitton,2,Handbags,22,Bi-annually,Yes - occasionally,Very Important,Neutral,Yes,No,Likely,Full Service (incl. Resale),1448,3016,510,24291,Excellent Value,Very Important,Neutral,In-Person (Studio),Very Interested,Active,Low Impact,Social Media,Lack of Transparency,7,Annually,Maybe,Dubai Mall,0
CUST0016,25,Male,Medium (100K-250K AED),Student,Other,Dior,15,Handbags,16,Annually,Yes - occasionally,Very Important,Very Loyal,No,No,Very Likely,Restoration Only,1263,5453,304,12680,Excellent Value,Very Important,Agree,Hybrid (Both),Very Interested,Somewhat Active,Medium Impact,Online Search,Lack of Transparency,5,As Needed,Interested,Dubai Marina,1
CUST0017,28,Female,Medium (100K-250K AED),Corporate Executive,Western Expat,Bottega Veneta,16,Handbags,16,Rarely,Yes - occasionally,Important,Very Loyal,Yes,Yes,Unlikely,Full Service (incl. Resale),794,3522,177,29149,Good Value,Critical,Neutral,Hybrid (Both),Very Interested,Very Active,Medium Impact,Social Media,Finding Trusted Services,10,Bi-annually,Very Interested,Downtown Dubai,0
CUST0018,30,Female,High (250K-500K AED),Entrepreneur,UAE National,Bottega Veneta,4,Leather Goods,3,Bi-annually,Yes - frequently,Important,Neutral,Yes,No,Neutral,Authentication Only,950,4509,431,24346,Fair,Important,Strongly Agree,Online (Website),Somewhat Interested,Not Active,Low Impact,Social Media,Long Wait Times,0,Bi-annually,Maybe,Jumeirah,0
CUST0019,30,Male,High (250K-500K AED),Professional,UAE National,Dior,8,Leather Goods,13,Annually,No - never,Important,Somewhat Loyal,Yes,No,Likely,Full Service (incl. Resale),1333,3864,624,13619,Excellent Value,Important,Strongly Agree,In-Person (Studio),Somewhat Interested,Active,Low Impact,Social Media,High Costs,7,Bi-annually,Interested,Dubai Mall,0
CUST0020,28,Male,Medium (100K-250K AED),Corporate Executive,Western Expat,Chanel,9,Handbags,14,Annually,Yes - frequently,Very Important,Neutral,Yes,No,Very Likely,Both Restoration & Authentication,1017,2441,265,10150,Excellent Value,Critical,Strongly Agree,Online (Website),Somewhat Interested,Very Active,High Impact,Word of Mouth,Finding Trusted Services,3,Bi-annually,Interested,Dubai Marina,1
CUST0021,32,Female,Very High (>500K AED),Corporate Executive,UAE National,Chanel,5,Handbags,8,Bi-annually,Yes - once,Very Important,Very Loyal,No,No,Unlikely,Full Service (incl. Resale),520,5408,454,4766,Fair,Very Important,Agree,Online (Website),Very Interested,Somewhat Active,Low Impact,Social Media,Finding Trusted Services,1,Monthly,Maybe,City Walk,0
CUST0022,25,Female,Medium (100K-250K AED),Business Owner,UAE National,Dior,16,Handbags,12,Quarterly,Yes - occasionally,Slightly Important,Somewhat Loyal,Yes,No,Very Unlikely,Authentication Only,572,4173,383,6549,Fair,Critical,Agree,Hybrid (Both),Very Interested,Somewhat Active,No Impact,Word of Mouth,High Costs,0,Bi-annually,Interested,Dubai Marina,0
CUST0023,28,Female,High (250K-500K AED),Professional,Asian Expat,Prada,13,Handbags,23,Bi-annually,Yes - occasionally,Very Important,Neutral,Yes,No,Unlikely,Both Restoration & Authentication,1341,3622,554,21693,Good Value,Critical,Strongly Agree,Hybrid (Both),Very Interested,Very Active,No Impact,Word of Mouth,Lack of Transparency,6,Bi-annually,Maybe,City Walk,0
CUST0024,28,Female,Very High (>500K AED),Entrepreneur,Western Expat,Hermès,7,Shoes,23,Rarely,Yes - once,Moderately Important,Very Loyal,Yes,No,Unlikely,Restoration Only,535,5285,150,29980,Fair,Very Important,Neutral,Hybrid (Both),Very Interested,Very Active,Low Impact,Word of Mouth,Lack of Transparency,1,Bi-annually,Interested,Dubai Mall,0
CUST0025,30,Female,High (250K-500K AED),Professional,GCC National,Gucci,17,Handbags,22,Annually,No - never,Important,Neutral,Yes,No,Very Likely,Both Restoration & Authentication,1006,4486,497,12634,Too Expensive,Critical,Strongly Agree,Hybrid (Both),Somewhat Interested,Somewhat Active,No Impact,Online Search,Limited Service Options,3,Bi-annually,Interested,Dubai Mall,1
CUST0026,38,Female,High (250K-500K AED),Professional,Arab Expat,Hermès,3,Handbags,21,Bi-annually,No - never,Moderately Important,Somewhat Loyal,Yes,No,Likely,Full Service (incl. Resale),1398,1558,389,4976,Excellent Value,Very Important,Neutral,Hybrid (Both),Somewhat Interested,Very Active,Low Impact,Word of Mouth,Finding Trusted Services,3,Annually,Interested,Jumeirah,0
CUST0027,25,Female,Medium (100K-250K AED),Business Owner,UAE National,Gucci,5,Handbags,8,Rarely,Yes - occasionally,Very Important,Somewhat Loyal,No,Yes,Likely,Full Service (incl. Resale),732,3933,207,18560,Excellent Value,Very Important,Agree,Hybrid (Both),Very Interested,Not Active,Medium Impact,Word of Mouth,Other,9,As Needed,Interested,City Walk,0
CUST0028,30,Male,Medium (100K-250K AED),Student,Other,Dior,19,Shoes,21,Bi-annually,Yes - occasionally,Very Important,Somewhat Loyal,Yes,No,Likely,Both Restoration & Authentication,1227,3562,484,15165,Fair,Very Important,Agree,Hybrid (Both),Somewhat Interested,Somewhat Active,Low Impact,Word of Mouth,Lack of Transparency,0,As Needed,Maybe,Dubai Marina,1
CUST0029,32,Female,Very High (>500K AED),Entrepreneur,GCC National,Chanel,12,Sneakers,9,Bi-annually,No - never,Important,Neutral,No,Yes,Very Likely,Restoration Only,1481,2754,332,26564,Fair,Very Important,Strongly Agree,Hybrid (Both),Very Interested,Active,High Impact,Word of Mouth,High Costs,1,Bi-annually,Interested,Downtown Dubai,1
CUST0030,22,Female,High (250K-500K AED),Corporate Executive,Arab Expat,Prada,7,Handbags,1,Annually,Yes - occasionally,Slightly Important,Very Loyal,No,No,Neutral,Full Service (incl. Resale),996,5188,486,5490,Good Value,Very Important,Strongly Agree,Hybrid (Both),Very Interested,Active,Medium Impact,Event/Exhibition,Long Wait Times,0,Monthly,Very Interested,Jumeirah,0
CUST0031,32,Male,Very High (>500K AED),Other,Asian Expat,Chanel,9,Sneakers,6,Annually,Yes - frequently,Important,Very Loyal,No,No,Likely,Full Service (incl. Resale),705,5248,175,28301,Good Value,Very Important,Agree,In-Person (Studio),Somewhat Interested,Active,Medium Impact,Online Search,Lack of Transparency,5,As Needed,Very Interested,Dubai Marina,0
CUST0032,25,Male,Medium (100K-250K AED),Professional,Asian Expat,Hermès,6,Leather Goods,23,Quarterly,No - never,Important,Neutral,Yes,No,Likely,Full Service (incl. Resale),925,3746,617,14995,Fair,Very Important,Agree,Hybrid (Both),Very Interested,Active,Low Impact,Social Media,High Costs,2,Annually,Interested,Dubai Mall,0
CUST0033,22,Female,Medium (100K-250K AED),Professional,Other,Chanel,17,Accessories,19,Bi-annually,No - never,Important,Neutral,Yes,Yes,Unlikely,Full Service (incl. Resale),1440,5487,558,23765,Good Value,Important,Strongly Agree,In-Person (Studio),Somewhat Interested,Somewhat Active,Low Impact,Online Search,Long Wait Times,0,Bi-annually,Interested,City Walk,0
CUST0034,42,Female,Low (<100K AED),Entrepreneur,GCC National,Dior,16,Handbags,23,Bi-annually,No - never,Important,Very Loyal,No,No,Likely,Full Service (incl. Resale),543,2877,226,15019,Excellent Value,Important,Agree,Hybrid (Both),Very Interested,Not Active,Low Impact,Social Media,Lack of Transparency,7,Quarterly,Very Interested,City Walk,0
CUST0035,45,Female,High (250K-500K AED),Entrepreneur,Other,Prada,3,Shoes,11,Bi-annually,No - never,Moderately Important,Somewhat Loyal,No,No,Neutral,Both Restoration & Authentication,590,1534,566,25371,Excellent Value,Important,Strongly Agree,In-Person (Studio),Not Interested,Active,Medium Impact,Social Media,Lack of Transparency,3,Quarterly,Maybe,City Walk,0
CUST0036,38,Female,Medium (100K-250K AED),Professional,Western Expat,Hermès,4,Accessories,11,Bi-annually,No - never,Important,Somewhat Loyal,No,No,Very Unlikely,Full Service (incl. Resale),1428,1661,366,10425,Fair,Important,Agree,In-Person (Studio),Very Interested,Active,High Impact,Word of Mouth,Limited Service Options,9,Quarterly,Interested,City Walk,0
CUST0037,28,Female,Very High (>500K AED),Business Owner,Western Expat,Prada,10,Shoes,23,Bi-annually,Yes - frequently,Important,Somewhat Loyal,No,No,Neutral,Both Restoration & Authentication,1327,5328,477,15857,Fair,Very Important,Agree,Social Media,Very Interested,Very Active,Medium Impact,Online Search,High Costs,6,Monthly,Maybe,City Walk,0
CUST0038,22,Female,High (250K-500K AED),Corporate Executive,GCC National,Bottega Veneta,5,Sneakers,13,Quarterly,Yes - frequently,Very Important,Very Loyal,No,No,Likely,Full Service (incl. Resale),969,4529,474,23003,Excellent Value,Critical,Strongly Disagree,In-Person (Studio),Very Interested,Active,Low Impact,Word of Mouth,Lack of Transparency,9,As Needed,Very Interested,Jumeirah,0
CUST0039,35,Female,Very High (>500K AED),Student,Western Expat,Gucci,10,Sneakers,11,Bi-annually,Yes - once,Slightly Important,Somewhat Loyal,No,No,Very Unlikely,Full Service (incl. Resale),1104,4346,411,25444,Fair,Important,Agree,In-Person (Studio),Not Interested,Active,Medium Impact,Magazine/Press,Lack of Transparency,1,Bi-annually,Interested,City Walk,0
CUST0040,30,Female,Medium (100K-250K AED),Corporate Executive,UAE National,Chanel,12,Handbags,18,Monthly,Yes - once,Important,Very Loyal,No,No,Very Likely,Restoration Only,966,2394,172,11689,Good Value,Critical,Agree,Online (Website),Very Interested,Active,Medium Impact,Word of Mouth,High Costs,5,Annually,Interested,Downtown Dubai,1
CUST0041,25,Female,Very High (>500K AED),Corporate Executive,Western Expat,Prada,10,Leather Goods,23,Bi-annually,Yes - once,Moderately Important,Neutral,Yes,No,Unlikely,Both Restoration & Authentication,1350,1970,393,6976,Fair,Critical,Neutral,Hybrid (Both),Very Interested,Very Active,Medium Impact,Social Media,Finding Trusted Services,5,Annually,Not Interested,Dubai Mall,0
CUST0042,30,Female,High (250K-500K AED),Professional,Western Expat,Louis Vuitton,13,Sneakers,15,Annually,Yes - occasionally,Important,Neutral,No,No,Very Likely,Restoration Only,953,4078,307,17205,Fair,Very Important,Neutral,Hybrid (Both),Very Interested,Somewhat Active,Low Impact,Other,Long Wait Times,6,Annually,Interested,City Walk,1
CUST0043,22,Female,High (250K-500K AED),Professional,Asian Expat,Bottega Veneta,11,Leather Goods,1,Annually,Yes - occasionally,Important,Somewhat Loyal,No,No,Very Likely,Restoration Only,1094,4339,355,3704,Fair,Critical,Agree,Hybrid (Both),Very Interested,Active,No Impact,Word of Mouth,Finding Trusted Services,0,As Needed,Interested,Jumeirah,1
CUST0044,40,Female,Very High (>500K AED),Professional,Asian Expat,Chanel,16,Handbags,21,Bi-annually,Yes - once,Very Important,Very Loyal,Yes,Yes,Very Likely,Both Restoration & Authentication,832,4399,459,8452,Fair,Very Important,Agree,Hybrid (Both),Very Interested,Somewhat Active,Low Impact,Online Search,Lack of Transparency,0,As Needed,Interested,Downtown Dubai,1
CUST0045,25,Female,High (250K-500K AED),Student,Western Expat,Gucci,8,Leather Goods,7,Monthly,Yes - frequently,Very Important,Very Loyal,No,No,Very Likely,Full Service (incl. Resale),1006,2946,236,15849,Excellent Value,Somewhat Important,Strongly Agree,In-Person (Studio),Very Interested,Somewhat Active,Medium Impact,Online Search,Limited Service Options,1,Bi-annually,Maybe,Downtown Dubai,1
CUST0046,35,Male,High (250K-500K AED),Corporate Executive,GCC National,Prada,8,Shoes,23,Quarterly,Yes - occasionally,Very Important,Somewhat Loyal,No,No,Neutral,Restoration Only,1293,1847,416,9094,Too Expensive,Critical,Neutral,Online (Website),Somewhat Interested,Active,Medium Impact,Magazine/Press,High Costs,10,As Needed,Interested,Other Emirates,0
CUST0047,28,Female,Medium (100K-250K AED),Business Owner,GCC National,Hermès,8,Handbags,13,Bi-annually,Yes - once,Important,Somewhat Loyal,No,No,Neutral,Both Restoration & Authentication,969,2193,564,6681,Excellent Value,Important,Agree,Online (Website),Very Interested,Active,High Impact,Social Media,Finding Trusted Services,1,Annually,Not Interested,Dubai Mall,0
CUST0048,30,Male,Low (<100K AED),Corporate Executive,UAE National,Gucci,13,Shoes,12,Quarterly,No - never,Important,Somewhat Loyal,No,No,Likely,Full Service (incl. Resale),520,2434,283,23522,Excellent Value,Critical,Agree,Hybrid (Both),Somewhat Interested,Active,High Impact,Social Media,Finding Trusted Services,4,Monthly,Interested,Dubai Marina,0
CUST0049,32,Male,Very High (>500K AED),Creative Industry,UAE National,Louis Vuitton,2,Sneakers,18,Bi-annually,Yes - occasionally,Very Important,Somewhat Loyal,Yes,No,Neutral,Full Service (incl. Resale),727,2412,416,21300,Fair,Critical,Agree,Hybrid (Both),Very Interested,Very Active,High Impact,Online Search,High Costs,0,Annually,Maybe,City Walk,0
CUST0050,25,Female,High (250K-500K AED),Professional,GCC National,Prada,12,Shoes,24,Quarterly,Yes - once,Very Important,Somewhat Loyal,No,No,Very Unlikely,Both Restoration & Authentication,875,1646,482,12566,Good Value,Very Important,Strongly Agree,In-Person (Studio),Very Interested,Somewhat Active,High Impact,Word of Mouth,Limited Service Options,10,Annually,Maybe,Other Emirates,0
CUST0051,45,Female,Very High (>500K AED),Corporate Executive,GCC National,Balenciaga,10,Handbags,19,Annually,No - never,Moderately Important,Very Loyal,No,No,Very Likely,Full Service (incl. Resale),629,4945,417,10501,Fair,Very Important,Agree,Online (Website),Somewhat Interested,Very Active,High Impact,Word of Mouth,High Costs,1,As Needed,Maybe,Jumeirah,1
CUST0052,38,Female,High (250K-500K AED),Entrepreneur,Other,Balenciaga,12,Handbags,15,Bi-annually,Yes - occasionally,Very Important,Very Loyal,No,No,Likely,Both Restoration & Authentication,1186,3211,599,4845,Good Value,Very Important,Strongly Agree,Online (Website),Very Interested,Active,Medium Impact,Social Media,Finding Trusted Services,5,Bi-annually,Maybe,City Walk,1
CUST0053,42,Female,Medium (100K-250K AED),Creative Industry,Western Expat,Dior,11,Shoes,8,Quarterly,Yes - frequently,Important,Very Loyal,Yes,No,Likely,Restoration Only,1119,2174,202,24038,Good Value,Somewhat Important,Agree,Hybrid (Both),Very Interested,Very Active,High Impact,Social Media,Lack of Transparency,2,Bi-annually,Not Interested,Downtown Dubai,0
CUST0054,40,Male,Medium (100K-250K AED),Creative Industry,GCC National,Chanel,15,Handbags,19,Annually,Yes - occasionally,Moderately Important,Very Loyal,Yes,No,Very Likely,Restoration Only,913,2939,248,9413,Fair,Very Important,Agree,Online (Website),Not Interested,Somewhat Active,Low Impact,Word of Mouth,Lack of Transparency,3,Monthly,Very Interested,Jumeirah,1
CUST0055,32,Female,High (250K-500K AED),Creative Industry,Western Expat,Hermès,16,Shoes,10,Quarterly,Yes - occasionally,Important,Somewhat Loyal,No,No,Likely,Authentication Only,1294,4234,396,27495,Fair,Critical,Agree,Online (Website),Very Interested,Active,No Impact,Social Media,High Costs,0,Bi-annually,Interested,Dubai Mall,0
CUST0056,42,Female,High (250K-500K AED),Corporate Executive,UAE National,Dior,17,Sneakers,7,Quarterly,No - never,Important,Neutral,Yes,Yes,Likely,Both Restoration & Authentication,570,3017,185,10990,Good Value,Very Important,Strongly Agree,In-Person (Studio),Somewhat Interested,Active,No Impact,Social Media,Lack of Transparency,4,Monthly,Maybe,Jumeirah,0
CUST0057,22,Female,Medium (100K-250K AED),Entrepreneur,Western Expat,Prada,2,Sneakers,18,Bi-annually,Yes - frequently,Important,Neutral,Yes,No,Very Likely,Full Service (incl. Resale),903,5130,550,12628,Excellent Value,Very Important,Strongly Agree,Hybrid (Both),Very Interested,Active,High Impact,Social Media,High Costs,3,Bi-annually,Interested,Downtown Dubai,0
CUST0058,25,Female,High (250K-500K AED),Professional,Asian Expat,Balenciaga,18,Handbags,16,Bi-annually,Yes - once,Moderately Important,Very Loyal,No,No,Unlikely,Full Service (incl. Resale),1061,2779,177,16230,Fair,Very Important,Agree,Hybrid (Both),Very Interested,Somewhat Active,Medium Impact,Social Media,Long Wait Times,7,Annually,Interested,Dubai Marina,0
CUST0059,22,Female,Low (<100K AED),Creative Industry,Western Expat,Balenciaga,12,Sneakers,20,Annually,Yes - frequently,Moderately Important,Very Loyal,No,No,Likely,Both Restoration & Authentication,1106,4507,369,22474,Good Value,Critical,Strongly Agree,In-Person (Studio),Very Interested,Very Active,No Impact,Online Search,High Costs,2,Quarterly,Very Interested,Dubai Mall,0
CUST0060,28,Female,High (250K-500K AED),Entrepreneur,Western Expat,Balenciaga,19,Handbags,6,Quarterly,Yes - occasionally,Moderately Important,Very Loyal,Yes,Yes,Very Likely,Both Restoration & Authentication,1290,2185,555,20754,Fair,Very Important,Disagree,Hybrid (Both),Very Interested,Active,High Impact,Online Search,Finding Trusted Services,9,Bi-annually,Maybe,Downtown Dubai,1
CUST0061,30,Female,Medium (100K-250K AED),Entrepreneur,Other,Prada,18,Handbags,9,Bi-annually,Yes - once,Important,Very Loyal,Yes,No,Very Likely,Authentication Only,896,2626,251,21312,Good Value,Very Important,Strongly Agree,Hybrid (Both),Very Interested,Active,Low Impact,Social Media,Long Wait Times,0,Quarterly,Maybe,City Walk,1
CUST0062,28,Prefer not to say,Very High (>500K AED),Professional,Arab Expat,Balenciaga,17,Handbags,21,Quarterly,Yes - occasionally,Very Important,Somewhat Loyal,Yes,No,Very Likely,Full Service (incl. Resale),836,1620,412,4636,Too Expensive,Critical,Neutral,Social Media,Somewhat Interested,Very Active,Low Impact,Social Media,High Costs,9,Quarterly,Very Interested,Other Emirates,1
CUST0063,38,Female,Medium (100K-250K AED),Corporate Executive,Asian Expat,Gucci,6,Handbags,13,Monthly,Yes - once,Important,Somewhat Loyal,No,No,Likely,Full Service (incl. Resale),1143,3966,420,25564,Good Value,Very Important,Agree,Online (Website),Somewhat Interested,Very Active,No Impact,Word of Mouth,Finding Trusted Services,4,Bi-annually,Maybe,City Walk,0
CUST0064,28,Female,High (250K-500K AED),Professional,Western Expat,Bottega Veneta,15,Accessories,21,Annually,Yes - occasionally,Slightly Important,Very Loyal,Yes,No,Very Likely,Authentication Only,1004,3897,373,27667,Fair,Very Important,Disagree,Hybrid (Both),Very Interested,Very Active,No Impact,Social Media,Limited Service Options,0,Monthly,Not Interested,Jumeirah,1
CUST0065,28,Female,Low (<100K AED),Other,Asian Expat,Prada,3,Accessories,8,Annually,Yes - occasionally,Moderately Important,Very Loyal,Yes,No,Unlikely,Restoration Only,1409,5228,288,21227,Good Value,Critical,Strongly Agree,In-Person (Studio),Very Interested,Very Active,Low Impact,Online Search,Lack of Transparency,10,Bi-annually,Not Interested,Dubai Mall,0
CUST0066,32,Female,Low (<100K AED),Student,GCC National,Hermès,6,Handbags,16,Quarterly,Yes - once,Very Important,Very Loyal,No,No,Neutral,Both Restoration & Authentication,775,1541,429,27760,Good Value,Critical,Strongly Agree,Online (Website),Very Interested,Active,Low Impact,Online Search,Finding Trusted Services,4,Monthly,Not Interested,City Walk,0
CUST0067,25,Female,Medium (100K-250K AED),Business Owner,Western Expat,Bottega Veneta,3,Leather Goods,13,Bi-annually,Yes - occasionally,Important,Very Loyal,No,No,Likely,Both Restoration & Authentication,1391,4938,600,29147,Good Value,Very Important,Strongly Agree,Hybrid (Both),Very Interested,Very Active,Medium Impact,Magazine/Press,Lack of Transparency,8,Quarterly,Very Interested,Jumeirah,0
CUST0068,38,Female,High (250K-500K AED),Corporate Executive,UAE National,Dior,1,Handbags,13,Quarterly,No - never,Important,Somewhat Loyal,No,No,Likely,Both Restoration & Authentication,512,1528,435,17707,Good Value,Important,Strongly Agree,In-Person (Studio),Very Interested,Active,High Impact,Word of Mouth,Long Wait Times,4,Bi-annually,Maybe,City Walk,0
CUST0069,22,Female,High (250K-500K AED),Business Owner,Western Expat,Hermès,13,Leather Goods,17,Annually,Yes - once,Slightly Important,Very Loyal,Yes,No,Neutral,Both Restoration & Authentication,502,2465,603,20215,Good Value,Critical,Agree,In-Person (Studio),Somewhat Interested,Very Active,Medium Impact,Word of Mouth,Lack of Transparency,1,Bi-annually,Very Interested,Dubai Mall,0
CUST0070,48,Female,Medium (100K-250K AED),Entrepreneur,Western Expat,Bottega Veneta,14,Shoes,23,Quarterly,Yes - occasionally,Very Important,Somewhat Loyal,Yes,No,Likely,Both Restoration & Authentication,1485,3415,399,8538,Excellent Value,Very Important,Strongly Agree,In-Person (Studio),Very Interested,Very Active,High Impact,Word of Mouth,Finding Trusted Services,1,Monthly,Very Interested,City Walk,1
CUST0071,38,Female,High (250K-500K AED),Entrepreneur,GCC National,Louis Vuitton,13,Accessories,20,Monthly,Yes - frequently,Important,Somewhat Loyal,No,Yes,Neutral,Authentication Only,1485,4332,471,24699,Good Value,Critical,Strongly Agree,In-Person (Studio),Somewhat Interested,Not Active,High Impact,Social Media,Lack of Transparency,9,Bi-annually,Interested,City Walk,0
CUST0072,25,Male,Very High (>500K AED),Corporate Executive,Other,Balenciaga,4,Handbags,5,Bi-annually,Yes - once,Moderately Important,Neutral,Yes,No,Likely,Both Restoration & Authentication,1477,3500,466,13317,Excellent Value,Important,Agree,In-Person (Studio),Somewhat Interested,Active,Medium Impact,Social Media,Lack of Transparency,8,Annually,Not Interested,Downtown Dubai,0
CUST0073,18,Female,High (250K-500K AED),Professional,Arab Expat,Louis Vuitton,7,Leather Goods,22,Bi-annually,No - never,Moderately Important,Neutral,No,No,Very Likely,Both Restoration & Authentication,723,3561,227,15454,Good Value,Very Important,Neutral,In-Person (Studio),Very Interested,Very Active,No Impact,Social Media,Long Wait Times,4,Annually,Not Interested,Jumeirah,1
